129.7   .925  6036  1.045   .836   .810   .444   .331   .302  180.7
131.3   .914  6113  1.045   .869   .846   .448   .335   .307  183.7
137.1   .919  6271  1.041   .948   .874   .457   .338   .314  186.5
141.6   .918  6378  1.035   .960   .885   .463   .343   .320  189.2
148.8   .914  6727  1.032  1.001   .901   .470   .347   .325  191.9
155.9   .949  7027  1.009   .994   .919   .471   .353   .332  194.3
164.9   .970  7280   .991   .970   .952   .475   .366   .342  196.6
171.0  1.000  7513  1.000  1.000  1.000   .483   .375   .353  198.7
183.4  1.014  7728  1.028  1.028  1.046   .501   .390   .368  200.7
195.8  1.047  7891  1.044  1.031  1.127   .514   .409   .386  202.7
207.4  1.056  8134  1.076  1.043  1.285   .527   .427   .407  205.1
218.3  1.063  8322  1.120  1.102  1.377   .547   .442   .431  207.7
226.8  1.076  8562  1.110  1.105  1.434   .555   .458   .451  209.9
237.9  1.181  9042  1.111  1.176  1.448   .566   .497   .474  211.9
225.8  1.599  8867  1.175  1.226  1.480   .604   .572   .513  213.9
232.4  1.708  8944  1.276  1.464  1.586   .659   .615   .556  216.0
241.7  1.779  9175  1.357  1.679  1.742   .695   .638   .598  218.0
249.2  1.882  9381  1.429  1.828  1.824   .727   .671   .648  220.2
261.3  1.963  9735  1.538  1.865  1.878   .769   .719   .698  222.6
248.9  2.656  9829  1.660  2.010  2.003   .821   .800   .756  225.1
226.8  3.691  9722  1.793  2.081  2.516   .892   .894   .839  227.7
225.6  4.109  9769  1.902  2.569  3.120   .957   .969   .926  230.0
228.8  3.894  9725  1.976  2.964  3.460  1.000  1.000  1.000  232.2
239.6  3.764  9930  2.026  3.297  3.626  1.041  1.021  1.062  234.3
244.7  3.707 10421  2.085  3.757  3.852  1.038  1.050  1.117  236.3
245.8  3.738 10563  2.152  3.797  4.028  1.045  1.075  1.173  238.5
269.4  2.921 10780  2.240  3.632  4.264  1.053  1.069  1.224  240.7
276.8  3.038 10859  2.321  3.776  4.413  1.085  1.111  1.271  242.8
279.9  3.065 11186  2.368  3.939  4.494  1.105  1.152  1.336  245.0
284.1  3.353 11300  2.414  4.019  4.719  1.129  1.213  1.408  247.3
282.0  3.834 11389  2.451  3.926  5.197  1.144  1.285  1.482  249.9
271.8  3.766 11272  2.538  3.942  5.427  1.167  1.332  1.557  252.6
280.2  3.751 11466  2.528  4.113  5.518  1.184  1.358  1.625  255.4
286.7  3.713 11476  2.663  4.470  6.086  1.200  1.379  1.684  258.1
290.2  3.732 11636  2.754  4.730  6.268  1.225  1.396  1.734  260.7
297.8  3.789 11934  2.815  5.224  6.410  1.239  1.419  1.786  263.2
